0.072292410	41
0.072311432	32
0.072322136	60
0.072332271	50
0.072342798	95
0.072353174	30
0.072363355	39
0.072374446	97
0.072384899	10
0.072395244	92
0.075283049	25
0.075302423	62
0.075313698	57
0.075324314	77
0.075334448	12
0.075345293	69
0.075355979	36
0.075366990	68
0.075377856	79
0.075389126	20
0.075421718	59
0.075433093	22
1.173714993	22
1.173738331	59
1.173750063	20
1.173761402	79
1.173772174	68
1.173782794	36
1.173793893	69
1.173805263	12
1.173816032	77
1.173827013	57
1.173839075	62
1.173849388	25
1.173859872	92
1.173871560	10
1.173883055	97
1.173894819	39
2.275098710	39
2.275123040	97
2.275133721	10
2.275144004	92
3.375467679	92
3.375475809	10
3.378206564	97
4.476824128	97
4.476846941	10
4.527021400	25
5.578229655	25
5.628397154	10
5.678558520	62
5.728719530	57
5.778889003	62
5.829038320	57
5.879186492	62
5.929348666	57
5.979505838	62
6.029583672	57
6.079695326	77
6.129853322	12
6.179960157	69
6.230007076	12
6.280111360	69
6.330217424	12
6.380289388	69
6.430363648	12
6.480468761	69
6.530520548	36
6.580680005	68
6.630841740	36
6.680912340	68
6.731068200	36
6.781172653	68
6.831315853	36
6.881476642	68
6.931641457	79
6.981801697	20
7.031964145	79
7.082076032	20
7.132238419	79
7.182303352	59
7.232465821	79
7.282611119	59
7.332773472	43
7.382888894	59
7.432959249	43
7.482985248	59
7.533089210	43
7.583197145	14
7.633354154	43
7.683550376	14
7.733717583	43
7.783873624	14
7.834034831	43
7.884190211	14
7.934349249	24
7.984422142	14
8.034496605	24
8.084600516	14
8.184752864	24
8.284803954	24
8.385024388	24
8.485227163	24
9.586411973	24
9.786506378	43
10.987536362	43
11.388040296	59
11.788531045	79
12.189065673	79
12.589580173	68
12.990056459	68
14.391708383	68
15.192627052	36
15.993546000	69
16.794463842	12
17.595278471	57
18.395551208	62
19.195652482	10
19.996566751	44
20.797482877	41
21.598397596	44
22.399315188	37
24.001062660	85
24.802012037	85
25.602926778	33
26.403844869	74
27.204743615	89
28.005668051	81
28.806583782	81
29.607505775	34
30.408409693	11
31.209338036	83
32.009377561	75
32.810313410	41
33.611230530	75
34.411470900	65
35.212399257	13
36.013235398	40
36.814155955	40
37.614989638	63
38.415573384	58
39.216431001	5
40.017349742	99
40.818204225	99
41.619138410	54
42.419463475	73
43.220393599	23
44.021296637	26
44.822212104	41
45.623121202	26
46.423461842	55
47.224391302	35
49.627128961	72
50.428047960	52
51.228955302	29
52.029861481	17
52.830770072	17
53.631684633	86
54.432588855	71
55.233498615	94
56.034415057	45
56.835319329	41
57.636221811	45
58.437127424	3
59.238039844	98
60.038956782	47
60.839876651	47
61.640776582	42
62.441686462	19
63.242594271	61
64.043507616	70
64.844431909	70
65.645344210	84
66.446233988	15
67.247081269	80
68.047573989	64
68.848486286	41
69.649327913	64
70.450258464	16
71.251171081	51
72.051548679	78
72.852453102	78
73.653384479	48
74.454285170	49
75.255204380	31
76.056092826	21
76.857028708	21
77.657945770	87
78.458865321	82
79.259519950	91
80.060422478	28
80.861278723	41
81.662209096	28
82.463101657	88
83.263572592	6
84.064456833	4
84.865381485	4
85.666307983	56
86.467227538	100
87.268143679	9
88.069058391	18
88.869983505	18
89.670896893	67
90.471818322	96
91.272735456	38
92.073657430	66
92.874564252	27
93.675486481	41
94.476389287	27
95.277301294	93
96.078218381	76
96.879135127	8
97.679572048	8
98.480492795	1
99.281408076	46
100.082273345	2
100.883186842	90
101.683557559	90
